Plate	Inplatecount	Sample	IgGTotal_RBD alpha	IgGTotal_N	IgGTotal_RBD beta	IgGTotal_RBD omicron	IgGTotal_RBD lambda	IgGTotal_RBD gamma	IgGTotal_zebra	IgGTotal_Eadp501	IgGTotal_RBD delta	IgGTotal_RBD wuhan	IgGTotal_AMA1	IgGTotal_MSP1	IgGTotal_HRPII	IgGTotal_Tetanus	IgGTotal_HCoV-229E	IgGTotal_HCoV-NL63	IgGTotal_HCoV-OC43	IgGTotal_pp28	IgGTotal_pp65	IgGTotal_EBNA1	IgGTotal_VCA	IgGTotal_FL spike	IgGTotal_BSA	IgGTotal_CelTos	IgGTotal_CSP	IgGTotal_HCoV-HKU1
PLATE1	1	HC-080K	47163.5	11522	22714.5	3317	18064	20578	3736	461.5	32928.5	22703	10303	66403.5	970	3860	2799	37407	81198.5	3349	2987	80250.5	86546	20223.5	627	184.5	1362	55184.5
PLATE1	1	HC-081K	67280	17559	42968	6277	47606.5	32777	4214.5	87	64081	48257.5	37872	82018	464	7375	27567	31086	93226	2886	632.5	60014	70388	34947	333	392	8982	21740
PLATE1	1	HC-082K	4812	5358	2196.5	11693	1516	2023	8037	165	23488	2114	120532	29224	760	61328	6396	46887	56415	6860	533.5	115277	132049	9888	367	280.5	947	1303
PLATE1	1	HC-083K	4646.5	424	141.5	298	242.5	293.5	51422.5	519.5	378.5	943	24527.5	62298.5	3167.5	9929	5271.5	23671	42647.5	2456.5	1041.5	17501	72306.5	1396.5	447.5	169.5	1392.5	6992
PLATE1	1	HC-084K	27453	600	16988	2588	20096	10669	81.5	76.5	36730	18131	13056	58404	1604	2683	28984	37233	55216	3506.5	823	3592	26585	42123	218	615	2984	43071.5
PLATE1	1	HC-085K	1861	449	191	1494	416.5	310.5	48	-39.5	1894.5	939	53512.5	113894	7242.5	15978	48577	52610	63018.5	8700	1479	60516.5	64115	3894	379	875.5	600	21054
PLATE1	1	HC-086K	1003.5	845.5	341.5	507	565.5	598.5	2874.5	277.5	1119.5	336.5	21371.5	64181.5	1350.5	3122.5	5188.5	23816.5	60045.5	72190.5	2399.5	83958	18687	1290.5	221.5	1118.5	1697	9908
PLATE1	1	HC-087K	18228	612.5	4753	621	9069.5	5805	1770.5	10	32704	8639	20250	56376	7820	18742	12719	19850.5	44540	7766	674	37696.5	30190	13376	269	1845	1758	3215
PLATE1	1	HC-088K	7911	1847	3882	7807	1847	2911.5	10269	22	13428	3606	38282	68958	2388	12106	5308.5	32867	53363	5614	568	28719.5	23658	12286.5	220	442	18700	29896
PLATE1	1	HC-089K	15540.5	2387	2374.5	5564.5	1650	2046.5	2522.5	55	9353.5	6111	17876.5	96229.5	4281.5	3824.5	14655	35837	60080.5	5674.5	969.5	55465.5	48507	5350	357.5	474	527.5	1833.5
PLATE1	1	HC-090K	6914	303.5	5291	7358.5	2425.5	4416	121	108	10563	3124	38373	111516	2427	14661	45822	55522	85673	5269	955	54825	32877.5	4637	312	232.5	376.5	4359
PLATE1	1	HC-091K	4358.5	448	2116	452.5	4241	1319	9032	51.5	6178	3995	28251.5	41253.5	4037	17181	3321.5	14924	11663	1970	367	29314	27771.5	3959	231	598	381	4676
PLATE1	1	HC-092K	16248	1711	4613	423	7077	3588.5	108	80	11876	6795.5	34368	53036.5	1347	5884.5	5365	22577.5	27513	2565	498	32597.5	31958	11328	181	264	1747.5	45382
PLATE1	1	HC-093K	25256.5	3937.5	8093.5	704	10050.5	6112.5	5794.5	-322.5	39309.5	17853.5	37641.5	82073	6722.5	8998.5	1486.5	5962.5	12169.5	4593	500.5	34419.5	16813.5	11292.5	632.5	197	1290.5	27073
PLATE1	1	HC-094K	7803	8273	6683	13183.5	4023	6565.5	260.5	175	26994	4917	35973.5	87854.5	5397	11312	6314	31975	85832	6926	450.5	45582	33117	19179	198	1641.5	2223	78474.5
PLATE1	1	HC-095K	950.5	1010	242	169	242	260.5	263	200.5	814	349.5	63223	101634	19500	24538.5	5539	21670.5	40922	5550	2256.5	72341	30411	2748	231	792.5	736	41390
PLATE1	1	HC-096K	6370	10785	3415.5	4917	2296	3086	347.5	281	12579	3269	65518.5	128128	7290.5	25097	14234	38601	115743	4512	794	83913	83227	23932	358	543	6416	8997
PLATE1	1	HC-097K	26333.5	21101	18165	14868	5057	15409	142	21	30504	12351	44762	69132	4849.5	14003	10973	38227	74341.5	4623	1404	38547	30470	24231.5	298	778	19353	10695
PLATE1	1	HC-098K	48867.5	41909.5	44971.5	11400.5	37990.5	33089.5	234	-14	59549.5	39167.5	21298.5	65467.5	3924.5	9105.5	10239.5	11362.5	54020	20636.5	979.5	40972.5	31512.5	34255	431.5	1621	4074.5	48650
PLATE1	1	HC-099K	28363	31584	18880	4373.5	21302	15407	200	93	31002	24455	12199.5	47031	2189	3057	6909.5	10820	23335.5	1288	199	41341.5	21690.5	21805	200	865	1608	2067.5
PLATE1	1	HC-100K	21954	6379	12322	3127	19543	13686.5	370.5	155	28009	15527	21931	34898	2096	8135.5	14191	9606	23325	2476	537.5	29814	23861.5	6937.5	188	276	1357	8807
PLATE1	1	HC19-KC005	1493.5	2666	845.5	851.5	594.5	836.5	360.5	1380.5	1107	585.5	31982.5	121028.5	3682.5	9605.5	156605.5	189178.5	187122	23596.5	1551.5	340.5	58236.5	1187.5	533.5	743.5	3070.5	1732.5
PLATE1	1	HC19-KC006	198.5	270.5	-35.5	286	-24.5	30.5	1275.5	-75.5	226.5	454.5	27689.5	63632.5	479.5	7912	49636.5	64992	72098.5	12155.5	395.5	15456.5	34681.5	887.5	370.5	11.5	3438.5	38108.5
PLATE1	1	HC19-KC007	2144	192	2438	3586.5	1395.5	3080	6143	-13	2088.5	448	67696	93642.5	17700	705	8544	23778	39271	2121.5	639	68839	66256	761	397	324	6946	8728.5
PLATE1	1	HC19-KC008	627.5	638	-40.5	-219	-62	-18.5	25	33.5	428.5	1296	54802	97897	11732	42611.5	2881	2579	74613	12999	4588	61440	55647.5	1671	541	1155	5003	39218
